d153b8e2-97f2-4400-9a40-b6cf8c52b012.stl, Cylinder
1603f3d2-3e23-4b4b-a1a2-c7866a4c1823.stl, Sphere
6c0b9fc5-9a9d-4d4f-aac3-614322a04b67.stl, Cube
615696a6-ee4c-4a79-85ff-4ca8dcddd92f.stl, Sphere
da9c145d-544e-4552-b217-e041d3bca7e5.stl, Cone
11cd81fd-aded-4c4c-8351-86b1c4bb19de.stl, Torus.009
e2b49760-ce8f-4ef5-9159-0ccdcef527c5.stl, Sphere
269a38c5-11e2-4df4-a207-fe2de72f627b.stl, Cylinder
20a80e88-70f2-4d07-aa1e-6a8112a5d23d.stl, Sphere
709fdc32-ea99-4ad5-94f8-5607eaf0be5e.stl, Cube
360b50b4-2a70-4003-a4a4-9dd55091d2e7.stl, Torus.010
e56e36a2-ebb4-4d38-b31f-d9b36bac06f4.stl, Cylinder
c921f707-7cb5-416c-becb-d5973520bec1.stl, Sphere
29f4323d-ceaf-4310-b23b-8b2ea3a000d5.stl, Sphere
d17bf98e-64aa-4c7e-b15a-2838ba58df2e.stl, Torus.011
c242ba8d-2ee0-486e-bfbd-acc40768f795.stl, Cone
ad611d4b-0010-4d69-b38f-f9237bc14cde.stl, Cube
03a70718-6821-4af7-b524-d361a9aa4b37.stl, Cylinder
dc47bd8a-f21a-4d20-bf02-edd47756c1ae.stl, Cube
