f4ef3c7b-b146-4991-a2ea-fddfdc610ef1.stl, Cylinder
6b514ec8-1582-40a0-8f61-c0edd2543917.stl, Cylinder
39bf0946-b3a5-42b0-867b-d0424d2b4bda.stl, Torus.016
7be32385-d342-4184-aee4-ff1ec0f73617.stl, Sphere
2bf3d96e-1d23-409b-a50d-2fc704f59eaf.stl, Torus.017
3f5f0492-05a6-4d88-9524-d25ecc5a519e.stl, Cylinder
4a929dea-0a20-4100-a425-8d90a8a4273d.stl, Cylinder
c31bf756-af2a-4ad4-a9a1-1ab92b5f28d0.stl, Cylinder
34cc1e78-c005-49c3-8a7f-2205b1468a2a.stl, Torus.018
869eddb9-76ba-4408-9270-c4034d025d45.stl, Cylinder
1001d024-b70d-4e39-a9cb-408cbd07cd46.stl, Torus.019
28391b8c-94fb-471f-a11f-14497d4c6d6e.stl, Torus.020
9e963d3d-4500-4259-b1be-0138923e9c69.stl, Cone
1b61c965-43d4-4227-8ba0-98b2c3a35e24.stl, Cone
7030880e-bf6b-4bb3-9c97-31b2a9bbede2.stl, Torus.021
02643f5e-b1eb-4dc9-bc05-0bb811d97652.stl, Torus.022
d2319066-be4c-44b3-baa4-18d48f76627d.stl, Cylinder
